* This is the BiomeMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to BiomeMobWeight.csv.
* Lines starting with '*' are comments and ignored
* When this file is read, SBU writes summary information to the log file.
* 
1, ocean, alexscaves:abyssal_chasm, MONSTER, alexscaves:deep_one_mage, 10, 1, 1
3126, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
3127, ocean, minecraft:deep_ocean, MONSTER, golemoverhaul:slime_golem, 25, 1, 2
3128, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:krampus, 10, 1, 1
3129, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:krampus_henchman, 10, 2, 3
3130, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:lifestealer, 10, 1, 1
3131, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:missioner, 10, 1, 1
3132, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:mother_spider, 15, 1, 1
3133, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:mr_pumpkin, 15, 1, 3
3134, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:mrs_pumpkin, 13, 1, 1
3135, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
3136, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
3137, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:pumpkin_bruiser, 10, 1, 1
3138, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
3139, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:senor_pumpkin, 10, 1, 2
3140, ocean, minecraft:deep_ocean, MONSTER, more_critters:shriekbat, 10, 1, 1
3141, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
3142, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
3143, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:skeleton_demoman, 12, 1, 1
3144, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
3145, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
3146, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
3147, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:spiritof_chaos, 10, 1, 1
3148, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
3149, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
3150, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:zombie_bruiser, 16, 1, 1
3151, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
3152, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
3153, ocean, minecraft:deep_ocean, MONSTER, born_in_chaos_v1:zombie_lumberjack, 25, 1, 1
3154, ocean, minecraft:deep_ocean, MONSTER, mekanismadditions:baby_creeper, 50, 2, 2
3155, ocean, minecraft:deep_ocean, MONSTER, mekanismadditions:baby_enderman, 10, 1, 2
3156, ocean, minecraft:deep_ocean, MONSTER, mekanismadditions:baby_skeleton, 50, 2, 2
3157, ocean, minecraft:deep_ocean, CREATURE, fallout_wastelands_:brahmin, 60, 2, 5
3158, ocean, minecraft:deep_ocean, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
3159, ocean, minecraft:deep_ocean, AMBIENT, minecraft:bat, 10, 8, 8
3160, ocean, minecraft:deep_ocean, AMBIENT, alexsmobs:fly, 10, 2, 3
3161, ocean, minecraft:deep_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
3162, ocean, minecraft:deep_ocean, WATER_CREATURE, minecraft:squid, 10, 1, 4
3163, ocean, minecraft:deep_ocean, WATER_CREATURE, minecraft:dolphin, 10, 1, 2
3164, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:alpha_reaverfish, 10, 1, 1
3165, ocean, minecraft:deep_ocean, WATER_CREATURE, alexsmobs:cachalot_whale, 10, 1, 2
3166, ocean, minecraft:deep_ocean, WATER_CREATURE, alexsmobs:frilled_shark, 11, 1, 1
3167, ocean, minecraft:deep_ocean, WATER_CREATURE, alexsmobs:giant_squid, 10, 1, 2
3168, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:ammonita, 15, 2, 6
3169, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:anglerfish, 18, 1, 4
3170, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:anomalocaris, 15, 1, 3
3171, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:archelon, 17, 1, 4
3172, ocean, minecraft:deep_ocean, WATER_CREATURE, more_critters:avoider, 10, 1, 2
3173, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:basking_shark, 16, 1, 4
3174, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:bathotrap_natural_spawn, 20, 1, 4
3175, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:blobfish, 13, 1, 3
3176, ocean, minecraft:deep_ocean, WATER_CREATURE, more_critters:bomb_jelly, 10, 2, 4
3177, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:cnidaria, 27, 6, 10
3178, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:colossoteus, 10, 1, 1
3179, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:colossoteus_jumping_spawn, 13, 1, 1
3180, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:cookie_cutter_shark, 16, 1, 3
3181, ocean, minecraft:deep_ocean, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
3182, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:crab_natural_spawn, 20, 3, 5
3183, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:dead_archelon_spawn, 10, 1, 1
3184, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:dunkleosteus, 10, 1, 1
3185, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:electrophorus, 14, 4, 6
3186, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:eurypterid, 22, 6, 10
3187, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:frilled_shark, 15, 1, 1
3188, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:giant_clam_natural_spawn, 18, 1, 3
3189, ocean, minecraft:deep_ocean, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
3190, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:gulper_eel, 20, 1, 5
3191, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:helicoprion, 12, 1, 6
3192, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:jellyfish, 40, 13, 30
3193, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:leedsichthys, 10, 1, 3
3194, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:liopleurodon, 12, 1, 1
3195, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:maka_maka_natural_spawn, 25, 1, 3
3196, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:manta, 25, 6, 12
3197, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:megalodon, 10, 1, 1
3198, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:megastar_natural_spawn, 25, 1, 8
3199, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:mosasaur, 10, 1, 2
3200, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:oarfish, 15, 1, 1
3201, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:orthoceras, 14, 1, 3
3202, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:panderodus, 18, 5, 12
3203, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:plesiosaur, 14, 2, 6
3204, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:reaverfish, 16, 1, 4
3205, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:riffhead, 11, 2, 5
3206, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:sea_phantom, 18, 2, 5
3207, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:sea_pickle_natural_spawn, 25, 3, 5
3208, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:sea_sludge_natural_spawn, 25, 1, 3
3209, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:sea_urchin_natural_spawn, 25, 1, 6
3210, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:shark, 16, 1, 10
3211, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:sunfish, 20, 1, 4
3212, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:tuna, 25, 3, 12
3213, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:tusoteuthis, 10, 1, 1
3214, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:vertebrat, 20, 5, 12
3215, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:whale, 15, 1, 2
3216, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:xiphactinus, 18, 2, 8
3217, ocean, minecraft:deep_ocean, WATER_CREATURE, thalassophobia:zapfin, 15, 2, 5
3218, ocean, minecraft:deep_ocean, WATER_AMBIENT, minecraft:cod, 10, 3, 6
3219, ocean, minecraft:deep_ocean, WATER_AMBIENT, collectorsreap:clam, 10, 1, 1
3220, ocean, minecraft:deep_ocean, WATER_AMBIENT, collectorsreap:urchin, 10, 1, 2
3221, ocean, minecraft:deep_ocean, WATER_AMBIENT, alexsmobs:blobfish, 30, 2, 2
3222, ocean, minecraft:deep_ocean, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
3223, ocean, minecraft:deep_ocean, WATER_AMBIENT, thalassophobia:glow_fish, 80, 8, 16
3224, ocean, minecraft:deep_ocean, WATER_AMBIENT, thalassophobia:octus, 10, 3, 6
3225, none, blue_skies:deep_peeking_ocean, MONSTER, blue_skies:armored_frost_spirit, 25, 2, 4
3226, none, blue_skies:deep_peeking_ocean, MONSTER, blue_skies:whistleshell_crab, 20, 1, 1
3227, none, blue_skies:deep_peeking_ocean, MONSTER, blue_skies:seclam, 10, 1, 1
3228, none, blue_skies:deep_peeking_ocean, WATER_AMBIENT, minecraft:cod, 15, 3, 6
3229, none, blue_skies:deep_peeking_ocean, WATER_AMBIENT, blue_skies:jelly_drifter, 10, 1, 3
3230, none, blue_skies:deep_peeking_ocean, WATER_AMBIENT, blue_skies:grittle_flatfish, 10, 2, 3
3231, none, blue_skies:deep_peeking_ocean, WATER_AMBIENT, blue_skies:municipal_monkfish, 15, 3, 6
3232, none, deeperdarker:deeplands, MONSTER, deeperdarker:sculk_centipede, 10, 1, 4
3233, none, deeperdarker:deeplands, MONSTER, deeperdarker:sculk_snapper, 11, 3, 6
3234, none, deeperdarker:deeplands, MONSTER, deeperdarker:shattered, 10, 2, 4
3235, none, deeperdarker:deeplands, MONSTER, minecraft:phantom, 10, 1, 2
3236, none, deeperdarker:deeplands, MONSTER, alexsmobs:farseer, 30, 1, 1
3237, none, deeperdarker:deeplands, MONSTER, alexsmobs:skreecher, 10, 1, 1
3238, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
3239, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:baby_spider, 16, 3, 5
3240, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:barrel_zombie, 25, 1, 1
3241, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:bloody_gadfly, 15, 1, 1
3242, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:bonescaller, 11, 1, 1
3243, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:corpse_fly, 12, 1, 3
3244, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:dark_vortex, 14, 1, 1
3245, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:decaying_zombie, 30, 1, 1
3246, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:decrepit_skeleton, 20, 1, 1
3247, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
3248, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
3249, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
3250, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
3251, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:krampus, 10, 1, 1
3252, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:krampus_henchman, 10, 2, 3
3253, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:lifestealer, 10, 1, 1
3254, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:missioner, 10, 1, 1
3255, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:mother_spider, 15, 1, 1
3256, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:mr_pumpkin, 15, 1, 3
3257, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:mrs_pumpkin, 13, 1, 1
3258, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
3259, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
3260, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:pumpkin_bruiser, 10, 1, 1
3261, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
3262, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:senor_pumpkin, 10, 1, 2
3263, none, deeperdarker:deeplands, MONSTER, more_critters:shriekbat, 10, 1, 1
3264, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
3265, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
3266, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:skeleton_demoman, 12, 1, 1
3267, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
3268, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
3269, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
3270, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:spiritof_chaos, 10, 1, 1
3271, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
3272, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
3273, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:zombie_bruiser, 16, 1, 1
3274, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
3275, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
3276, none, deeperdarker:deeplands, MONSTER, born_in_chaos_v1:zombie_lumberjack, 25, 1, 1
3277, none, deeperdarker:deeplands, CREATURE, fallout_wastelands_:brahmin, 60, 2, 5
3278, none, deeperdarker:deeplands, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
3279, none, deeperdarker:deeplands, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
3280, none, deeperdarker:deeplands, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
3281, none, deeperdarker:deeplands, WATER_CREATURE, thalassophobia:jellyfish, 40, 13, 30
3282, none, terrablender:deferred_placeholder, MONSTER, alexsmobs:farseer, 30, 1, 1
3283, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
3284, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:baby_spider, 16, 3, 5
3285, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:barrel_zombie, 25, 1, 1
3286, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:bloody_gadfly, 15, 1, 1
3287, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:bonescaller, 11, 1, 1
3288, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:corpse_fly, 12, 1, 3
3289, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:dark_vortex, 14, 1, 1
3290, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:decaying_zombie, 30, 1, 1
3291, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:decrepit_skeleton, 20, 1, 1
3292, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
3293, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
3294, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
3295, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
3296, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:krampus, 10, 1, 1
3297, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:krampus_henchman, 10, 2, 3
3298, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:lifestealer, 10, 1, 1
3299, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:missioner, 10, 1, 1
3300, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:mother_spider, 15, 1, 1
3301, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:mr_pumpkin, 15, 1, 3
3302, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:mrs_pumpkin, 13, 1, 1
3303, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
3304, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
3305, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:pumpkin_bruiser, 10, 1, 1
3306, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
3307, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:senor_pumpkin, 10, 1, 2
3308, none, terrablender:deferred_placeholder, MONSTER, more_critters:shriekbat, 10, 1, 1
3309, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
3310, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
3311, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:skeleton_demoman, 12, 1, 1
3312, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
3313, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
3314, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
3315, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:spiritof_chaos, 10, 1, 1
3316, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
3317, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
3318, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:zombie_bruiser, 16, 1, 1
3319, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
3320, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
3321, none, terrablender:deferred_placeholder, MONSTER, born_in_chaos_v1:zombie_lumberjack, 25, 1, 1
3322, none, terrablender:deferred_placeholder, CREATURE, fallout_wastelands_:brahmin, 60, 2, 5
3323, none, terrablender:deferred_placeholder, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
3324, none, terrablender:deferred_placeholder, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
3325, none, terrablender:deferred_placeholder, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
3326, none, terrablender:deferred_placeholder, WATER_CREATURE, thalassophobia:jellyfish, 40, 13, 30
3327, none, undergarden:dense_forest, MONSTER, undergarden:nargoyle, 50, 1, 1
3328, none, undergarden:dense_forest, MONSTER, undergarden:muncher, 50, 1, 1
3329, none, undergarden:dense_forest, MONSTER, undergarden:sploogie, 50, 1, 1
3330, none, undergarden:dense_forest, MONSTER, undergarden:rotling, 80, 2, 4
3331, none, undergarden:dense_forest, MONSTER, undergarden:rotwalker, 80, 4, 4
3332, none, undergarden:dense_forest, MONSTER, undergarden:rotbeast, 80, 1, 2
3333, none, undergarden:dense_forest, MONSTER, undergarden:stoneborn, 80, 1, 3
3334, none, undergarden:dense_forest, MONSTER, alexsmobs:farseer, 30, 1, 1
3335, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
3336, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:baby_spider, 16, 3, 5
3337, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:barrel_zombie, 25, 1, 1
3338, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:bloody_gadfly, 15, 1, 1
3339, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:bonescaller, 11, 1, 1
3340, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:corpse_fly, 12, 1, 3
3341, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:dark_vortex, 14, 1, 1
3342, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:decaying_zombie, 30, 1, 1
3343, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:decrepit_skeleton, 20, 1, 1
3344, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
3345, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
3346, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
3347, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
3348, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:krampus, 10, 1, 1
3349, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:krampus_henchman, 10, 2, 3
3350, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:lifestealer, 10, 1, 1
3351, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:missioner, 10, 1, 1
3352, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:mother_spider, 15, 1, 1
3353, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:mr_pumpkin, 15, 1, 3
3354, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:mrs_pumpkin, 13, 1, 1
3355, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
3356, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
3357, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:pumpkin_bruiser, 10, 1, 1
3358, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
3359, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:senor_pumpkin, 10, 1, 2
3360, none, undergarden:dense_forest, MONSTER, more_critters:shriekbat, 10, 1, 1
3361, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:siamese_skeletons, 16, 1, 1
3362, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
3363, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:skeleton_demoman, 12, 1, 1
3364, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
3365, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
3366, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
3367, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:spiritof_chaos, 10, 1, 1
3368, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
3369, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
3370, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:zombie_bruiser, 16, 1, 1
3371, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
3372, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
3373, none, undergarden:dense_forest, MONSTER, born_in_chaos_v1:zombie_lumberjack, 25, 1, 1
3374, none, undergarden:dense_forest, CREATURE, undergarden:gloomper, 80, 4, 4
3375, none, undergarden:dense_forest, CREATURE, undergarden:brute, 80, 4, 4
3376, none, undergarden:dense_forest, CREATURE, undergarden:mog, 80, 4, 4
3377, none, undergarden:dense_forest, CREATURE, undergarden:dweller, 80, 4, 4
3378, none, undergarden:dense_forest, CREATURE, fallout_wastelands_:brahmin, 60, 2, 5
3379, none, undergarden:dense_forest, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
3380, none, undergarden:dense_forest, AMBIENT, undergarden:scintling, 10, 4, 8
3381, none, undergarden:dense_forest, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
3382, none, undergarden:dense_forest, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
3383, none, undergarden:dense_forest, WATER_CREATURE, thalassophobia:jellyfish, 40, 13, 30
3384, desert, minecraft:desert, MONSTER, minecraft:spider, 80, 4, 4
3385, desert, minecraft:desert, MONSTER, minecraft:zombie, 19, 4, 4
3386, desert, minecraft:desert, MONSTER, minecraft:zombie_villager, 10, 1, 1
3387, desert, minecraft:desert, MONSTER, minecraft:skeleton, 80, 4, 4
3388, desert, minecraft:desert, MONSTER, minecraft:creeper, 80, 4, 4
3389, desert, minecraft:desert, MONSTER, minecraft:slime, 80, 4, 4
3390, desert, minecraft:desert, MONSTER, minecraft:enderman, 5, 1, 4
3391, desert, minecraft:desert, MONSTER, minecraft:witch, 5, 1, 1
3392, desert, minecraft:desert, MONSTER, minecraft:husk, 80, 4, 4
3393, desert, minecraft:desert, MONSTER, alexsmobs:centipede_head, 10, 1, 1
3394, desert, minecraft:desert, MONSTER, alexsmobs:guster, 35, 1, 2
3395, desert, minecraft:desert, MONSTER, alexsmobs:farseer, 30, 1, 1
3396, desert, minecraft:desert, MONSTER, alexsmobs:murmur, 10, 1, 1
3397, desert, minecraft:desert, MONSTER, born_in_chaos_v1:baby_skeleton, 25, 1, 2
3398, desert, minecraft:desert, MONSTER, born_in_chaos_v1:baby_spider, 16, 3, 5
3399, desert, minecraft:desert, MONSTER, born_in_chaos_v1:barrel_zombie, 25, 1, 1
3400, desert, minecraft:desert, MONSTER, born_in_chaos_v1:bloody_gadfly, 15, 1, 1
